13 (В. Кожемяко).≉ ≈|Если звезды зажигают, значит, это кому-нибудь| нужно // МП.
1Хотя исследовательница выходит далеко за пределы филологии, вовлекая в свою мысль множество культурных сфер, будь то устройство российской власти, бытовое поведение, |архитектура и ландшафтное искусство, └слово ┘как таковое|, высветленность словом, словесность как логосность, казалось бы, не могут не служить ей отправным пунктом.
1Хотя, конечно, из безнадежной серии: к лицу ль поэтам проза, «|Не спи, не спи, художник|» и т.■д.≉ ≈Некоторые лирики (или текстовики) впадают в презренную ересь, полагая, что все еще «больше, чем».
1Цель нового литератора – чтение на фоне собственных читательских ожиданий, то есть после последней полюбившейся книги…” 1■ ≉ ≈Трудно не вспомнить тут знаменитое некрасовское:≉ ≈■≉ ≈|@Что ему книга последняя скажет,≉ ≈@То на душе его сверху и ляжет.≉ ≈■≉ ≈@Верить, не верить – ему все равно,≉ ≈@Лишь бы доказано было умно!≉ ≈■≉ ≈На то, чтобы “доказано было умно|”, они (постструктуралисты) мастера.
1Целью искусства является дать ощущение вещи как видение, а не как узнавание; приемом искусства является прием “|остранения” вещей и прием затрудненной формы, увеличивающий трудность и долготу восприятия, так как воспринимательный процесс в искусстве самоцелен и должен быть продлен; искусство есть способ пережить деланье вещи, а сделанное в искусстве неважно[3]|.≉  ≈Идея, согласно которой искусство служит для освежения наших впечатлений, стершихся в результате привыкания, — эта идея Шкловского сразу заставляет вспомнить о той функции, которую выполняет непроизвольное припоминание в творчестве Марселя Пруста.
1Цитата взята с сохранением ритмического рисунка из VIII главы: «|С Онегиным он вспоминает / Проказы, └шутки прежних лет|┘», – причем герои Пушкина и Заболоцкого, произносящие эти слова, оба пережили судьбоносные перемены в жизни.≉ ≈В экспозиции второй главы («Монолог в лесу») также содержится пушкинская цитата:≉ ≈■≉  ≈Вокруг него холмы из глины≉ ≈Подставляют солнцу одни половины.≉ ≈Другие половины лежат в тени.≉ ≈И└ так идут за днями дни┘.≉  ≈■≉ ≈Последние слова – из «Сказки о мертвой царевне…»: «Им она не прекословит, / Не перечат ей они.
1Ч≉ ≈|Чтобы плыть в революцию дальше|?
1Чем вызвал в памяти ассоциацию с Карамзиным в интерпретации Пушкина:≉ ≈ ≉ |В его “Истории” изящность, простота≉ Доказывают нам, без всякого пристрастья,≉ Необходимость самовластья≉ И прелести кнута.≉ ≈Более того, раззадоренный ожесточенной полемикой вокруг ван Зайчика, Рыбаков опубликовал в альманахе “Фантастика|” статью под названием “Клеветникам Ордуси”, что еще раз напоминает о “золотом веке” русской поэзии; впрочем, хотя речь о Пушкине, это уже другой сюжет.
1Черный - традиционный цвет скорби - неизменно сопрягается в “Tristia” с чем-то непривычным и всякий раз новым: “И └черный ┘парус возвратится / Оттуда после похорон” (“Меганом”), “|И вчерашнее солнце на └черных ┘носилках несут|” (“Сестры тяжесть и нежность…”; солнце вновь отсвечивает черным!
1Чехова: «|Подъезжая к сией станции и глядя на природу в окно, у меня слетела шляпа|» [Жалобн.
1читал Олейникова – и хотя его стихи я уже знал (спасибо тому же Андрею Зорину) и любил, до сих пор сотни раз перечитанные строки: └|Жареная рыбка, ┘/ └Дорогой карась, ┘/ └Где ваша улыбка, ┘/ └Что была вчерась| ┘(и до трагического финала) или └Молодец профессор Греков, ┘/ └Исцелитель человеков!
1Что доходило медленнее – это “|сквозная идея” вещи, ее целостность, смысл символики и эксцентрических гипербол, вообще степень оправданности всех этих фантазий, снов, двойников, зеркальных отражений, экскурсов в заумь типа старинных “дыр бул щыл|” и т. п. Предыдущая проза Аксенова могла лишь исподволь подготовить к чему-либо в этом роде; “Бочкотара” была первой, еще подцензурной и потому сравнительно сдержанной вехой его “нового стиля”, вскоре порвавшего и с тем потоком “молодежной литературы”, в рамках которой вызрели первые аксеновские повести, и со всей компромиссной, строившейся в лучшем случае на полуправдах культурой “развитого социализма”.
1Что же касается официальной части второго дня, то завершал ее доклад филолога, философа и историка культуры └|Гасана Гусейнова ┘(Университет Бонна) на тему “└“Сопряжение далековатых идей|”: эксцентричное в методе и объекте гуманитарных наук 1980–2000-х гг.┘”.
1Что оказалась длинной.≉ ≈Только с горем я чувствую солидарность.≉ ≈|Но пока мне рот не забили глиной,≉ ≈из него раздаваться будет лишь благодарность [6] |.≉ ≈Statt des wilden Tiers ging ich rein in den Kbfig,≉ ≈meine Frist, meinen Namen in die Barackenwand schabend,≉ ≈spielte Roulett, auch am Meer schon lebte ich,≉ ≈a▄ Gott wei▄ mit wem im Frack zu Abend.≉ ≈Sah die Welt aus der Hnhe eines Gletschers,≉ ≈soff dreimal ab, wurde zweimal aufgeschnitten.≉ ≈Verlie▄ das Land, das mich aufzog und hbtschelte.≉ ≈Aus denen, die mich verga▄en, gbbs ganze Stbdte.≉ ≈Trieb mich in Steppen rum, voll vom Geheul der Hunnen,≉ ≈was ich mir anzog, kommt jetzt wieder in Mode,≉ ≈sbte Roggen, deckte mit Schwarzpappe Scheunen≉ ≈und hab mir nicht blo▄ Wasser in die Kehle gezogen.≉ ≈Lie▄ in meine Trbume ein das Aug des Wachsoldaten,≉ ≈fra▄ das Brot der Fremde, und keine Rinde lie▄ ich.≉ ≈Erlaubte meinen Stimmbbndern alles, blo▄ keine Klagen.≉ ≈Ging tber ins Fltstern.
1Что, на наш взгляд, маловероятно, но не исключено.≉ ≈|Свою мысль о возможном наследовании Бойко подтверждает еще одной строкой - плеоназмом Окуджавы Судьба, судьбы, судьбе, судьбою, о судьбе┘, - конструкция которой могла прийти к нему как от Пастернака (└Борьба, борьбы, борьбе, борьбою┘), так и от Глазкова (└Судьба судьбы командует судьбою┘), и от того же Незнамова (└Гора, горой, горе, горы┘)|.≉ ≈Смысл его цитированных в начале строчек о природе творчества (не только └глазковского┘, заметим) - очевиден.
1Чтобы в этом убедиться, достаточно будет перечислить некоторые названия произведений советских писателей 1960-х – первой половины 1980-х гг., когда имя Пастернака официально вспоминалось без особой охоты: “Глухая пора листопада” (1968–1970) Ю. Давыдова, “У времени в плену” (1969) А. Штейна, “Уже на-писан Вертер” (1979) В. Катаева, “Мне четырнадцать лет” (1980) А. Вознесенского, “|И дольше века длится день|” (1980) Ч. Айтматова.
1Чуковский признавался в письме к Горькому в том, что для того, чтобы делать в литературных портретах “|психологические выводы”, он изучает и творчество, и жизнь своих персонажей| [8].
1Шестая глава “|Онегина”, названная им Поединок , написана была четыре года назад, в Михайловском.≉ Уже немало времени минуло с той поры, когда он в последний год своего изгнания, в глуши, во мраке заточенья описывал скупым и гибким стихом картину позднего зимнего утра, сырой притоптанный снег, будто вином обрызганный кровью|…≉ Вот Онегин, проспавший назначенный час, садится в беговые санки и стремглав летит на мельницу , где его, вчерашнего собеседника и сотрапезника, опершись о плотину, давно нетерпеливо ждет Ленский.
1Шкловский дает в статье знаменитое определение искусства:≉  ≈Целью искусства является дать ощущение вещи, как видение, а не как узнавание; приемом искусства является прием “|остранения” вещей и прием затрудненной формы, увеличивающий трудность и долготу восприятия, так как воспринимательный процесс в искусстве самоцелей и должен быть продлен; искусство есть способ пережить деланье вещи, а сделанное в искусстве не важно[55]|.≉  ≈Определение это страдает многими недостатками, из которых самый сильный — психологизм.
1Шубниковой-Гусевой (“|Есенин в жизни и творчестве”) и| Н.М.
1Щербина (“таганрогский грек”) написал эпиграмму “|Бергу и другим немцамславянофилам”: ≉   Тепленько немцам у славян – ≉ И немцы все славянофилы: ≉ Не мудрено, что наш кафтан ≉ И мурмолка их сердцу милы… ≉ Несли мы, Берг, почти что век ≉ Опеку немцев не по силам… ≉ └ Я слишком русский человек, ≉ Чтоб сделаться славянофилом|.
1Эта загадка вряд ли будет разгадана”*┘■└|.≉ ┘ Ну, отчего ж вряд ли?≉ Манящая прелесть тайн в том и заключена, что они для своего постижения требуют не только конкретных и точных знаний, но и будят воображение, привлекают фантазию и нередко глубины свои раскрывают тем, кого ведет наитие, чутье, интуиция.≉ Я бегу безапелляционных заявлений, я не смею говорить утвердительно, я никому ничего не навязываю, но сам-то почти уверен, что на полях рабочей тетради, где октябрь уж наступил| , где роща отряхает последние листы с нагих своих ветвей , Пушкин набросал сценку, подсмотренную им у соседей в Апраксине.
1Эта мифологема находит продолжение в философии в той мере, в какой последняя изображает человека детерминированным, помимо его намерений, сложившимися обстоятельствами (биологическими, экономическими, геополитическими)|.≉ Точно так же мы попадаем в тупик|, когда принимаемся отыскивать в социальной реальности сугубые реакции на предшествующие события или состояния.
1Эта непосредственная инкорпорированность в историю является для Топорова одним из критериев исключения конкретного текста, связанного с темой Петербурга, |из «“петербургского текста” русской литературы|», интерпретируется им как недостаток - сфера политического снижает провиденциальный смысл Петербурга и связанного с ним петербургского периода русской истории.
1Эта раздвоенность, удивительно точно изображенная затем Лермонтовым в форме отвержения России официально-величественной и душевного приятия России природной и народной (“|Люблю Отчизну я, но странною любовью…|”), в своих вариациях становится национальной чертой, находя широкое отражение в литературе.
1Эти мотивы можно встретить в «Полтаве» и «Медном всаднике», «Евгении Онегине» и «Памятнике» («|…душа в заветной лире / Мой прах переживет и тленья убежит») и| многих других стихотворениях.
1Эти перемены совпали с известными идеологическими кампаниями прежде всего в области литературы, |известным постановлением о журналах “Звезда” и “Ленинград|”.
1Эти слова возвращают нас к «Безверию», в частности к афористическому стиху: «|Ум ищет божества, а сердце не находит|», – и свидетельствуют о внутренней борьбе между верой и безверием в душе и сознании Пушкина 26■ .
1Эти фразы откровенно напоминают “Мастера и Маргариту” Булгакова: помимо того, что в двух романах совпадают сезон и место действия, в романе Булгакова также описана гроза (в 10-й главе) – кроме того, явно восходит к Булгакову и характерная ритмизация прозы при описании ключевых событий (“|Тьма, пришедшая со Средиземного моря, накрыла ненавидимый прокуратором город…|”).
1Этим старым, исчерпанным и надоевшим был позитивизм в обычном понимании этого слова – эмпиризм и детерминизм в философии, утилитаризм и прагматизм в нравственности, архивомания, буквоедство и фактография в конкретных областях науки, а к тому же вера или обязанность верить в “разумное, доброе, вечное”, в то, что “|воля и труд человека дивные дивы творят|” и что прогресс все спишет… Одним словом, “верую в кошку серую”, как проницательно заметил Андрей Белый в своих воспоминаниях, ибо “статика, предвзятость, рутина, пошлость, ограниченность кругозора, – вот что я вынес на рубеже двух столетий из быта жизни среднего московского профессора; и в средней средних растворялось не среднее” 1 .
1Это был прямой результат грубой провокации и зловещего клубка мрачной статистики.≉ ≈|- Знаете ли, Иннокентий, - сказала она мне, - вы не просто человек, вы Человек с большой буквы|.
1Это была не поэтическая фигура, а твердое, выношенное и продуманное убеждение: «|Точность и краткость — вот первые достоинства прозы|.
1Это время, |когда еще ничего не было решено, когда все могло пойти по-другому|.≉ ≈Наивная иллюзия - для последовательного детерминиста.
1Это выглядит так, как если бы туристический путеводитель по России для иностранцев был снабжен эпиграфом из Тютчева: “|Не поймет и не заметит / Гордый взор иноплеменный|…” ≉ Иванов получил широкое признание как автор, создавший эстетический и исторический образ Центрального Урала и Прикамья (своего рода литературный эпос этого региона) и включивший его в российскую культурную память.
1Это гипербола самого себя: ≉ ≈■≉ ≈|Не устрашуся гибели, ≉ ≈Ни копий, ни стрел дождей, –≉ ≈Так говорит по Библии≉ ≈Пророк Есенин Сергей.≉ ≈■≉ ≈Не “мы <…> подходим|”, а “я пришел”, настало не “наше время”, а “мое” – вот под каким знаменем отныне ведет Есенин свою литературную борьбу.
1Это довольно трогательный, хотя и не новый, метод научного обоснования; но все-таки, как представляется, аргументация типа «|когда я на почте служил ямщиком|» не добавляет дискуссии об этническом федерализме ни осмысленности, ни основательности.
1Это естественное желание представлено в русской культуре большим набором опций – от милого и простодушного:@ «|Что-то рано осень в гости к нам пришла: еще просит сердце света и тепла|» до вульгарного, чувственного, попсового: «Лето!
1Это и есть, говорит далее Хлебников, “|самовитое слово вне быта и жизненных польз|”.
1Это и подпитка настоящими жизнями вроде жертв коллективизации, репрессий и войн, и символическое признание “власти мертвого” (внедрение формул “|Ленин жил, Ленин жив, Ленин будет жить|”), и вампирская подпитка (мумия подпитывается от посетителей мавзолея, особенно детей: рассказчик, вполне в духе Лазарчука[16], вспоминает, как в детстве после посещения Красной площади у него поднялась температура), и общий апокалиптический некроз истории (“полынный вкус поражения уже витал в воздухе, Политбюро дрогнуло, почувствовав дыхание смерти”).≉ Любопытно также, как обыгрываются лицемерие, система двойных стандартов, царившие в верхушке СССР: мумии боятся все, включая Крупскую; Сталин проводит с ней тайные переговоры под покровом ночи; с Лениным достигли договора, что он не появляется на людях, иначе народ сочтет его Антихристом - да и что подумают другие страны?≉ ■≉ “В свою очередь Политбюро ЦК ВКП(б), сохранившее всю власть и поддерживаемое с этого момента определенными инфернальными возможностями, обязалось обеспечивать сохранность и безопасность мумии, […а] иго смерти, наложенное на страну, питало собой псевдожизнь”.≉ ■≉ Дальше - хуже, в духе уже “Чужого против Хищника”: умерший еще в начале войны, но “задействованный в виде зомби”, Сталин сцепляется с мумией Ленина.
1Это и роман не подтвердит: в седьмой его главе Прасковья повезет свою дочь Татьяну “|в Москву, на ярманку невест|” и остановится именно в доме княжны Алины, а не у кого-либо из многочисленных своих московских родственников.
1Это как раз то, что отличает, к примеру, российского владельца закусочной от коллеги из Сирии или Турции - последние знают, что, независимо от их персональной бизнес-судьбы, уровня коррупции, политики властей, |владельцы закусочных в их стране всегда были, есть и будут [3] |.≉ ≈■≉ ≈■≉ ≈■≉ ≈Теперь приступим.
1Это как раз тот случай, когда «|со всеми сообща и заодно с правопорядком|» не гарантировало, а как раз отрицало «труд» [5] .≉ ≈Прояснить разницу человеческих типов мне поможет градостроительное сопоставление, а именно контраст новых промышленных городов, разросшихся в Союзе в 1970-е годы, и спальных районов, возникших в те же самые 1970-е в крупных городах страны.
1Это можно было бы назвать налетом хлестаковщины (“|С Пушкиным на дружеской ноге!|”), но “хлестаковщина” применительно к амикошонству Быкова кажется избыточной почтительностью.
1Это напряжение между республиканским этосом гражданина как “частного лица” и требованиями “государевой службы” хорошо иллюстрирует знаменитая пушкинская эпиграмма “|К портрету Чаадаева” (1818-1820): ≉ ≉ Он высшей волею небес≉ Рожден в оковах службы царской.≉ Он в Риме был бы Брут, в Афинах - Периклес,≉ А здесь он офицер гусарский.≉ ≉ Предельным случаем этого рассогласования двух типов социальных ролей (неслужащий гражданин - публичный интеллектуал └vs.┘ подданный императора - государственный служащий) можно считать позицию Николая Карамзина, которого радикально настроенная молодежь александровской эпохи (в том числе будущие декабристы) резко критиковала за консервативные взгляды, проявившиеся в монархической ориентированности “Истории государства Российского|”:≉ ≉ “Не мешаю другим мыслить иначе.
1Это неточная цитата из стихотворения Блока “Голос из хора” (“|О, если б знали вы, друзья, / Холод и мрак грядущих дней…|”).
1Это о нем сказано позже: “|Неужели и жизнь отшумела, / Отшумела, как платье твое|?”≉ Дар Блока не только в том, что он осознавал и формулировал, – он и в том, что поэт отрицал в себе.
1Это означает, |что государство для русского человека всегда было, есть и будет высшей и спасительной силой|, поскольку сам народ наш беспомощен и не готов даже к самой элементарной самоорганизации.
1Это продажная газета, |но продажная по принципу “не обманешь — не продашь|”.
1Это просто н о в ы й стих.≉ – └Проиллюстрируйте, пожалуйста…≉ ┘ – Пример из стихов, ставших песнями:≉ ≈|Не слышно шуму городского,≉ ≈В заневских башнях тишина|…≉ ≈Шумел камыш, деревья гнулись,≉ ≈А ночка темная была.≉ ≈Вставай, проклятьем заклейменный,≉ ≈Весь мир голодных и рабов!≉ Все они написаны одним размером.
1Это соображение было проиллюстрировано примерами из Константина Кедрова, Генриха Сапгира, Гали-Даны Зингер и других современных авторов; в качестве дополнительных доказательств были упомянуты “Not the sonnet” Вордсворта и строчка Пушкина “|Суровый Дант не презирал сонета…|”.
1Это, вопервых, ангажированное и, еще сильнее, мобилизационное искусство, которое воплощает (или, как стали теперь говорить вслед за функционерами КПСС, “озвучивает”) программу тех или иных сил, стремящихся участвовать во власти или поддерживать собственную власть – например: “|Я всю свою звонкую силу поэта|…” Либо это, во-вторых, критически дистанцированное искусство, сознательно и последовательно работающее с политическими фигурами, риториками, символами, мифами, разбирающее их, показывая, как это сделано, и тем самым дающее возможность в той или иной мере освободиться от их магии и фасцинации (если только само не переходит в обсессию).
1Это, как правило, были люди, |окончившие курс университета до революции, учившиеся у классиков “старой|” медиевистики; кто-то из них успел опубликовать свои первые работы еще до 1917 года 13 .
1Это, прежде всего, текст известной песенки о кузнечике: ≉  ≈|В траве сидел кузнечик,≉ ≈Совсем, как огуречик,≉ ≈Зелененький он был|,≉ ≈Зелененький он был… [45] @@ ≉  ≈Размер песни - 3-стопный ямб с чередованием окончаний женских и мужских и парной рифмовкой - ААbb, где две последние строки повторяются и образуют своего рода рефрен.
1Это| для низкой жизни были числа|.
1Это| может быть бунт на коленях|, а может быть самопожертвование героя-террориста.
1Этот взгляд сообщает важный импульс к внимательному рассмотрению чисто фольклорных образных и сюжетных единиц, но в своей радикальной односторонности противоречит реальным обстоятельствам появления “Сказки” Пушкина.≉ ≈Ее вступление: “|Негде, в тридевятом царстве, / В тридесятом государстве, / Жил-был славный царь Дадон|” - близко повторяет зачин “Сказки первой” первого сборника В. Даля “Русские сказки” (1832): “В некотором самодержавном царстве, что за тридевять земель, за тридесятым государством, жил-был царь Дадон золотой кошель”.
1Этот драматический процесс можно наглядно проиллюстрировать разницей между дореволюционным блоковским «|О, Русь моя, жена моя|» и послереволюционными «Скифами» с их «мы»: «Да -- скифы мы!
1Этот капитан был “племянником знаменитого Человека с деревянной головой” [54] и сам в результате увечий, полученных им в битвах с врагами, время от времени заменял различные части своего тела на протезы (деревянные ноги, кожаный желудок, серебряное лицо и т. д.).≉ В обмене фантастическими историями двух друзей, в итоге поссорившихся, можно увидеть отсылку и к тому месту в романе “Евгений Онегин” Пушкина, где говорится о “неразлучной” людской дружбе:≉ ≉ Так люди (первый каюсь я)≉ От └делать нечего ┘друзья.≉ Но дружбы нет и той меж нами.≉ Все предрассудки истребя,≉ |Мы почитаем всех нулями,≉ А единицами - себя.≉ Мы все глядим в Наполеоны;≉ Двуногих тварей миллионы≉ Для нас орудие одно;≉ Нам чувство дико и смешно.≉ ≉ Повествуя о том, как он лишился одной ноги, Лебедев, любивший и ранее подкреплять свои шутки примерами из истории (чего стоит, например, его казуистическая защита одного средневекового антропофага), давал понять, что совсем не имеет наполеоновских амбиций, свойственных его другу Иволгину, поскольку не является даже “двуногой тварью|”.
1Этот корпус текстов открывается именно машинописным текстом постановления| о журналах “Звезда” и “Ленинград|”.
1Этот механизм похож на то, что описывает упрощенная формула “|читатель ждет уж рифмы “розы|””, только ждут не рифмы, а момента прозрения или, наоборот, темного парадокса внутри стихотворения.
1Эту мысль своего «|Памятника» Ахматова, как курсивом, выделит потом, в 1961 году, эпиграфом:≉ ≈■≉ ≈@Я была тогда с моим народом≉ ≈@Там, где мой народ, к несчастью, был|.
1Я буду хранить эти деньги| вечно!”≉ “Мы разучились нищим подавать…” ≉ Теперь подают нам: русский народ – русским поэтам…≉ ≉ “Но что-то в этом от того, чего я не люблю…”≉ ≉ В нашем дружеском кругу “ленинградских шестидесятников”, когда кто-то получал пасквильную рецензию в газете или журнале или гнусный отзыв на свои стихи от собрата-литератора, говорилось: “У поэтов есть такой обычай: / В круг сойдясь, оплевывать друг друга|…” Дальше обычно не продолжали, так как Дмитрия Кедрина все знали наизусть: “Ты украл пятнадцатую строчку, / Низкий вор, из моего “Дивана”!
1Я бы открыла ее пушкинским “|…Нева металась как больной в своей постели беспокойной|”, а завершила бы генделевским: “озноб как мальчикказачок бежал висеть на удилах его словесности”.
1Я ведь был воспитан в такой домостроевской строгости -- «|умри, но не дай поцелуя без любви|».
1Я восхищаюсь выдержкой Елены Владимировны, негодую и бормочу себе под нос детскую считалку:≉ А мы просо сеяли-сеяли,≉ А мы просо вытопчем, вытопчем…≉ ■≉ И вдруг догадываюсь: ведь это оно и есть - всенародное признание и всенародная любовь, высшая награда поэту, о которой мечтал и которую предсказывал себе и служителям русской поэзии Александр Пушкин:≉ ■≉ |Я памятник себе воздвиг нерукотворный≉ К нему не зарастет народная тропа|.≉ ■≉ Ладно, пусть уж вытаптывают саженцы, лишь бы не зарастала тропа.≉ В одну из первых пастернаковских годовщин, 30 мая, мы с Константином, проводив на электричку друзей, по дороге к себе на дачу в поздний уже час поднялись на горку, вернулись к могиле, чтобы постоять там в одиночестве.
1Я вспомнил замечательные слова Андрея| Платонова: «Без меня народ неполный|».
1Я дерзну утверждать, что в наше время поэт должен быть философом <…>] ≉       (Voltaire 14, 109–111) 9 ≉ ≉ ≈■≉       III ≉ ≉ “|Письмо…” начинается с хрестоматийного обращения к Шувалову: ≉   ≈Неправо о вещах те думают, Шувалов, Которые Стекло чтут ниже Минералов <…> ≉ ≉   Иван Шувалов имел самое непосредственное отношение к будущему стекольному производству Ломоносова – по собственному признанию, фаворит “выпросил у Императрицы <…> деревушку|” для фабрики (Билярский 1865, 040).
1Я предполагаю, что Новый год буду, |верно, на воле в| клобе Вологодском… По окончании милиции я с оной явлюся в С.П.б.
1Я привожу оттуда формулировку теории: ≉ “|…известно, что слова склоняются по падежам своим концом… Слыхал ли ты, однако, про внутреннее склонение слов|?
1Я сожгла храм любви, |осталась зала труда и творчества|.
1я устрою≉ ≈Себе смиренный уголок≉ ≈И в нем Парашу успокою.≉ ≈|Кровать, два стула, щей горшок≉ ≈Да сам большой… чего мне боле|?≉ ≈Не будем прихотей мы знать.≉ ≈По воскресеньям летом в поле≉ ≈С Парашей буду я гулять;≉ ≈Местечко выпрошу; Параше≉ ≈Препоручу хозяйство наше≉ ≈И воспитание ребят…≉ ≈И станем жить и так до гроба≉ ≈Рука с рукой дойдем мы оба≉ ≈И внуки нас похоронят…≉ ≉ Учитель взял у меня листок со стихами, перечитал их и ответил, что, будь именно они напечатаны в тексте, ему пришлось бы строить урок по-другому.
1Я, конечно, отнекивался, мол, я за вашу и нашу свободу, но понимал, что немало найдется в России тех, кто думает примерно так, |как это инкриминировали мне.≉ Далее я стал размышлять: а есть ли такое пространство, которому надо называться постсоветским, или его| (уже) нет?
1Я| знаю: ты с чистою кровью рожден, Ты встал на пороге веселых времен|!
1Я| и написал “Дыр бул щыл|”, пятистрочие, которое и поместил в готовящейся тогда моей книжке “Помада” (вышла в начале 1913 г.)» 6 .
1Якубовичем в его рецензии на “|Вечера” в “Литературных прибавлениях к Русскому Инвалиду|” (1831.
1Яркие примеры - строка П. Когана “|Я с детства не любил овал…” и светловское “изобретение” “Добро должно быть с кулаками|”… Сколько они породили новых самостоятельных произведений!
